DATA;HORA;PREC;P_EST;TBS;TBU;ES_TS;ES_TU;E;URA;DELTA_E;TPO;UA;US;R;Q
13/01/2020;12;0;939.1;24.2;20.4;30.198;23.967;20.88894332;69.174;9.309;16.36229446;15.22390688;22.00803831;0.0142;0.014
13/01/2020;18;0;936.2;30.2;21.4;42.917;25.486;18.35841611;42.777;24.558;14.64396458;13.11488433;30.65894848;0.0124;0.0123
14/01/2020;0;0;936.7;24;18;29.837;20.639;15.77900174;52.883;14.058;12.62921039;11.5075144;21.76027636;0.0107;0.0105
14/01/2020;12;0;937.1;23;18.2;28.093;20.9;17.01196716;60.556;11.081;13.63037274;12.44862192;20.55713831;0.0115;0.0114
14/01/2020;18;0;935;30.2;22.8;42.917;27.755;21.76082381;50.705;21.156;16.90642596;15.54549617;30.65894848;0.0148;0.0146
15/01/2020;0;0;935.4;24.8;22.1;31.301;26.6;24.41250686;77.994;6.888;18.43649704;17.75604092;22.76594024;0.0167;0.0164
15/01/2020;12;0;933.2;23.6;21;29.129;24.869;22.76281697;78.146;6.366;17.5054586;16.62314954;21.27194419;0.0156;0.0153
15/01/2020;18;0;931.5;30.2;24.2;42.917;30.198;25.33754841;59.039;17.579;18.93140085;18.10063649;30.65894848;0.0174;0.0171
16/01/2020;0;7.8;934.3;21.6;20.7;25.8;24.414;23.68524028;91.803;2.115;18.0340534;17.41419906;18.9691974;0.0162;0.0159
16/01/2020;12;46.4;937.4;21.4;21;25.486;24.869;24.54481697;96.305;0.942;18.50842198;18.0584489;18.75121511;0.0167;0.0164
16/01/2020;18;20;939;20.2;19.6;23.673;22.809;22.32299305;94.298;1.35;17.24582804;16.49099691;17.48811616;0.0151;0.0149
17/01/2020;0;0.4;940.2;16.5;14.9;18.771;16.943;15.64736794;83.359;3.124;12.51773505;11.7071499;14.0442181;0.0105;0.0104
17/01/2020;12;0;942.6;16.2;13;18.416;14.977;12.38523311;67.254;6.03;9.406638002;9.27607708;13.79269501;0.0083;0.0082
17/01/2020;18;0;941.5;23.4;19.4;28.78;22.527;19.28726841;67.017;9.492;15.30074876;14.0945423;21.03133559;0.013;0.0128
18/01/2020;0;0;941.5;20.2;16.4;23.673;18.652;15.57392345;65.788;8.099;12.45512958;11.50515627;17.48811616;0.0105;0.0104
18/01/2020;12;0;941.5;18.7;16.3;21.565;18.533;16.58949768;76.928;4.976;13.29574412;12.31842714;16.0129967;0.0112;0.011
